,length_url,length_domain,ip_address,number_of_hyphens,number_of_dots,number_of_dollar_sign,length_path
201,35.0,23.0,0.0,4.0,2.0,0.0,24.0
202,54.0,26.0,0.0,6.0,1.0,0.0,28.0
203,47.0,21.0,0.0,6.0,1.0,0.0,20.0
204,38.0,12.0,0.0,3.0,3.0,0.0,18.0
205,34.0,25.0,0.0,3.0,1.0,0.0,30.0
206,44.0,20.0,0.0,3.0,1.0,0.0,15.0
207,30.0,12.0,0.0,4.0,2.0,0.0,5.0
208,40.0,23.0,0.0,4.0,2.0,0.0,25.0
209,56.0,15.0,0.0,3.0,1.0,0.0,148.0
210,100.0,17.0,0.0,8.0,3.0,0.0,36.0
211,108.0,12.0,0.0,5.0,8.0,0.0,190.0
212,87.0,33.0,0.0,5.0,9.0,0.0,33.0
213,25.0,24.0,0.0,3.0,3.0,0.0,1.0
214,292.0,43.0,0.0,6.0,16.0,0.0,21.0
215,25.0,26.0,0.0,2.0,2.0,0.0,30.0
216,46.0,16.0,0.0,5.0,3.0,0.0,5.0
217,25.0,14.0,0.0,4.0,1.0,0.0,14.0
218,41.0,18.0,0.0,5.0,2.0,0.0,27.0
219,69.0,12.0,0.0,5.0,4.0,0.0,27.0
220,44.0,24.0,0.0,3.0,2.0,0.0,26.0
221,136.0,22.0,0.0,9.0,6.0,0.0,1.0
222,72.0,31.0,0.0,7.0,2.0,0.0,21.0
223,49.0,24.0,0.0,4.0,3.0,0.0,19.0
224,23.0,25.0,0.0,4.0,1.0,0.0,65.0
225,208.0,25.0,0.0,9.0,12.0,0.0,15.0
226,216.0,27.0,0.0,3.0,2.0,0.0,8.0
227,36.0,26.0,0.0,4.0,2.0,0.0,41.0
228,44.0,9.0,0.0,5.0,1.0,0.0,26.0
229,58.0,11.0,0.0,6.0,2.0,0.0,34.0
230,30.0,18.0,0.0,3.0,2.0,0.0,1.0
231,260.0,18.0,0.0,5.0,4.0,0.0,1.0
232,84.0,103.0,0.0,7.0,2.0,0.0,25.0
233,71.0,19.0,0.0,4.0,3.0,0.0,27.0
234,93.0,15.0,0.0,4.0,2.0,0.0,43.0
235,125.0,10.0,0.0,9.0,5.0,0.0,25.0
236,70.0,117.0,0.0,3.0,2.0,0.0,30.0
237,67.0,11.0,0.0,3.0,2.0,0.0,1.0
238,48.0,19.0,0.0,6.0,1.0,0.0,43.0
239,28.0,12.0,0.0,3.0,2.0,0.0,189.0
240,54.0,12.0,0.0,5.0,1.0,0.0,1.0
241,80.0,25.0,0.0,10.0,2.0,0.0,1.0
242,36.0,20.0,0.0,4.0,2.0,0.0,0.0
243,56.0,19.0,0.0,3.0,3.0,0.0,21.0
244,62.0,13.0,0.0,4.0,1.0,0.0,67.0
245,56.0,16.0,0.0,6.0,2.0,0.0,100.0
246,30.0,7.0,0.0,4.0,1.0,0.0,7.0
247,43.0,14.0,0.0,3.0,3.0,0.0,52.0
248,49.0,23.0,0.0,3.0,2.0,0.0,52.0
249,157.0,16.0,0.0,8.0,3.0,0.0,1.0
250,75.0,19.0,0.0,4.0,2.0,0.0,30.0
251,73.0,28.0,0.0,6.0,2.0,0.0,1.0
252,63.0,15.0,0.0,8.0,1.0,0.0,14.0
253,31.0,47.0,0.0,3.0,3.0,0.0,21.0
254,41.0,13.0,0.0,4.0,1.0,0.0,29.0
255,61.0,12.0,1.0,5.0,3.0,0.0,136.0
256,47.0,6.0,0.0,5.0,2.0,0.0,5.0
257,31.0,36.0,0.0,3.0,1.0,0.0,21.0
258,29.0,14.0,0.0,4.0,2.0,0.0,32.0
259,59.0,11.0,0.0,3.0,3.0,0.0,14.0
260,114.0,32.0,0.0,3.0,3.0,0.0,17.0
261,38.0,17.0,0.0,4.0,1.0,0.0,82.0
262,106.0,6.0,0.0,5.0,2.0,0.0,9.0
